slang,formal,category1,category2,category3
kek,kayak,abreviasi,modifikasi vokal,0
ngomong,mengomong,afiksasi,0,0
inget,ingat,modifikasi vokal,0,0
mamer,memamerkan,afiksasi,0,0
keles,kali,coinage,0,0
jelase,jelas,anaptiksis,0,0
liat,lihat,zeroisasi,0,0
uwakk,uwak,elongasi,0,0
ntar,entar,zeroisasi,0,0
bs,bisa,abreviasi,0,0
gini,begini,abreviasi,0,0
jgn,jangan,abreviasi,0,0
sampe,sampai,monoftongisasi,0,0
aq,aku,abreviasi,homofon,0
salfok,salah fokus,akronim,0,0
njir,anjir,zeroisasi,0,0
piiink,pink,elongasi,0,0
astgfrullah,astagfirullah,abreviasi,0,0
ko,kok,zeroisasi,0,0
cd,celana dalam,akronim,0,0
gbs,enggak bisa,akronim,abreviasi,0
bhs,bahasa,abreviasi,0,0
yaaaaaa,ya,elongasi,0,0
gak,enggak,zeroisasi,0,0
bangshad,bangsat,anaptiksis,subtitusi,homofon
yaa,ya,elongasi,0,0
stagahhhh,astaga,anaptiksis,elongasi,zeroisasi
kpn,kapan,abreviasi,0,0
iooo,lo,salah ketik,elongasi,0
dy,dia,homofon,0,0
d,ada,abreviasi,0,0
mslh,masalah,abreviasi,0,0
qt,kita,abreviasi,homofon,0
jdi,jadi,abreviasi,0,0
plampiasannn,pelampiasan,elongasi,zeroisasi,0
masalahh,masalah,elongasi,0,0
tohh,toh,elongasi,0,0
inghinn,ingin,elongasi,anaptiksis,0
dhi,di,anaptiksis,0,0
mengherthii,mengerti,anaptiksis,elongasi,0
yanckh,yang,anaptiksis,0,0
chelalyyu,selalu,anaptiksis,subtitusi,0
therchakitty,tersakiti,anaptiksis,subtitusi,homofon
mauuuuu,mau,elongasi,0,0
kaliii,kali,elongasi,0,0
bangat,banget,modifikasi vokal,0,0
bkin,bikin,abreviasi,0,0
dongg,dong,elongasi,0,0
yokkk,yuk,elongasi,modifikasi vokal,0
gini,begini,abreviasi,0,0
yu,yuk,zeroisasi,0,0
sweger,segar,anaptiksis,modifikasi vokal,0
kereeen,keren,elongasi,0,0
gantengg,ganteng,elongasi,0,0
bingiit,banget,modifikasi vokal,elongasi,0
gak,enggak,zeroisasi,0,0
kebukaaa,terbuka,afiksasi,elongasi,0
tpi,tapi,abreviasi,0,0
keliatan,kelihatan,zeroisasi,0,0
yakk,ya,anaptiksis,elongasi,0
kayakk,kayak,elongasi,0,0
asliii,asli,elongasi,0,0
kyk,kayak,abreviasi,0,0
cntiknya,cantiknya,abreviasi,0,0
bat,banget,abreviasi,0,0
ga,enggak,abreviasi,zeroisasi,0
ngeliatnya,melihatnya,afiksasi,0,0
sll,selalu,abreviasi,0,0
bet,banget,abreviasi,0,0
njerr,anjir,zeroisasi,modifikasi vokal,0
bingiiittttzzzz,banget,elongasi,modifikasi vokal,anaptiksis
bgt,banget,abreviasi,0,0
k,kak,abreviasi,0,0
klo,kalo,zeroisasi,0,0
lg,lagi,abreviasi,0,0
dooong,dong,elongasi,0,0
masi,masih,zeroisasi,0,0
gni,begini,abreviasi,0,0
kek,kayak,abreviasi,modifikasi vokal,0
gini,begini,abreviasi,0,0
aja,saja,zeroisasi,0,0
udah,sudah,zeroisasi,0,0
hdk,hendak,abreviasi,0,0
yg,yang,abreviasi,0,0
jugaa,juga,elongasi,0,0
mksud,maksud,abreviasi,0,0
aj,saja,abreviasi,0,0
tetep,tetap,modifikasi vokal,0,0
tp,tapi,abreviasi,0,0
mbakx,mbaknya,word-value letter,0,0
syantik,cantik,subtitusi,anaptiksis,0
syantik,cantik,subtitusi,anaptiksis,0
kite,kita,modifikasi vokal,0,0
pa,apa,zeroisasi,0,0
mksd,maksud,abreviasi,0,0
bejilbbnya,berjilbabnya,abreviasi,0,0
masio,masih,salah ketik,0,0
yahhh,ya,anaptiksis,elongasi,0
makasih,terima kasih,akronim,0,0
leh,boleh,abreviasi,0,0
ugaaa,juga,abreviasi,elongasi,0
yah,ya,anaptiksis,0,0
jerewi,jerawat,coinage,0,0
ilang,hilang,zeroisasi,0,0
jilbabnyaah,jilbabnya,anaptiksis,elongasi,0
kek,kayak,abreviasi,modifikasi vokal,0
yuuuk,yuk,elongasi,0,0
warnaaa,warna,elongasi,0,0
punyaaa,punya,elongasi,0,0
cantiik,cantik,elongasi,0,0
sukaaak,suka,elongasi,anaptiksis,0
kebayanyaa,kebayanya,elongasi,0,0
mantes,memantas,afiksasi,0,0
merekaaaa,mereka,elongasi,0,0
jugaaa,juga,elongasi,0,0
gilaaaa,gila,elongasi,0,0
tiga2nya,tiga-tiganya,reduplikasi,0,0
lucuu,lucu,elongasi,0,0
emessss,gemas,elongasi,zeroisasi,modifikasi vokal
ucullllll,lucu,metatesis,elongasi,0
jdi,jadi,abreviasi,0,0
males,malas,modifikasi vokal,0,0
bangeettt,banget,elongasi,0,0
gemesshh,gemas,elongasi,modifikasi vokal,anaptiksis
ngomong,mengomong,afiksasi,0,0
apaaa,apa,elongasi,0,0
ampuunn,ampun,elongasi,0,0
pengen,pengin,modifikasi vokal,0,0
ciuuuummmm,cium,elongasi,0,0
mbil,sambil,zeroisasi,0,0
ngmng,mengomong,abreviasi,afiksasi,0
ngemeng,mengomong,modifikasi vokal,afiksasi,0
epe,apa,modifikasi vokal,0,0
seehh,sih,modifikasi vokal,elongasi,0
yank,sayang,zeroisasi,homofon,subtitusi
ucul,lucu,metatesis,0,0
yahh,ya,anaptiksis,elongasi,0
kek,kayak,abreviasi,modifikasi vokal,0
gw,gue,homofon,abreviasi,0
lucuu,lucu,elongasi,0,0
ngakak,mengakak,afiksasi,0,0
astagfirrullah,astagfirullah,elongasi,0,0
bkn,bukan,abreviasi,0,0
tpi,tapi,abreviasi,0,0
suerrr,suer,elongasi,0,0
gk,enggak,abreviasi,0,0
mnta,minta,abreviasi,0,0
lg,lagi,abreviasi,0,0
syg,sayang,abreviasi,0,0
ntik,cantik,zeroisasi,0,0
pny,punya,abreviasi,0,0
dapet,dapat,modifikasi vokal,0,0
kek,kayak,abreviasi,modifikasi vokal,0
gini,begini,abreviasi,0,0
suru,suruh,zeroisasi,0,0
lucuuuu,lucu,elongasi,0,0
ketawakkkk,ketawa,anaptiksis,elongasi,0
kyanya,kayanya,abreviasi,0,0
bnget,banget,abreviasi,0,0
nakutin,menakutkan,afiksasi,0,0
malingg,maling,elongasi,0,0
cocokk,cocok,elongasi,0,0
niihh,nih,elongasi,0,0
imutttttt,imut,elongasi,0,0
satuuuuu,satu,elongasi,0,0
sesekk,sesak,elongasi,modifikasi vokal,0
nafass,nafas,elongasi,0,0
bgtt,banget,abreviasi,elongasi,0
cintaaaaaaa,cinta,elongasi,0,0
lucuk,lucu,anaptiksis,0,0
lucuk,lucu,anaptiksis,0,0
ma,sama,zeroisasi,0,0
duluu,dulu,elongasi,0,0
megang,memegang,afiksasi,0,0
ngakak,mengakak,afiksasi,0,0
kawinin,mengawini,afiksasi,0,0
liatin,memperlihatkan,afiksasi,0,0
ny,nya,abreviasi,0,0
d,di,abreviasi,0,0
bdan,badan,abreviasi,0,0
nyaaa,nya,elongasi,0,0
gemesin,menggemaskan,afiksasi,0,0
daah,dah,elongasi,0,0
fotoin,memfoto,afiksasi,0,0
ngaku,mengaku,afiksasi,0,0
kaaa,kak,elongasi,zeroisasi,0
ganteng2,ganteng-ganteng,reduplikasi,0,0
pcarny,pacarnya,abreviasi,0,0
kri,kiri,abreviasi,0,0
knpa,kenapa,abreviasi,0,0
pda,pada,abreviasi,0,0
cmn,cuman,abreviasi,0,0
gara2,gara-gara,reduplikasi,0,0
garuk2,garuk-garuk,reduplikasi,0,0
tembokk,tembok,elongasi,0,0
namax,namanya,word-value letter,0,0
kiriii,kiri,elongasi,0,0
kyk,kayak,abreviasi,0,0
bungkusin,bungkuskan,afiksasi,0,0
atu,satu,zeroisasi,0,0
dehhhh,deh,elongasi,0,0
dongg,dong,elongasi,0,0
kakk,kak,elongasi,0,0
ngegantiin,menggantikan,afiksasi,0,0
alloh,allah,modifikasi vokal,0,0
smpe,sampai,abreviasi,monoftongisasi,0
msh,masih,abreviasi,0,0
trsa,terasa,abreviasi,0,0
khadirannya,kehadirannya,zeroisasi,0,0
fikiran,pikiran,subtitusi,0,0
hayalanku,khayalanku,zeroisasi,0,0
bru,baru,abreviasi,0,0
nton,menonton,abreviasi,afiksasi,0
jdi,jadi,abreviasi,0,0
ngapain,mengapai,afiksasi,0,0
yaa,ya,elongasi,0,0
surgaa,surga,elongasi,0,0
kangenn,kangen,elongasi,0,0
kgn,kangen,abreviasi,0,0
kakkkkk,kak,elongasi,0,0
rinduuuuuuuuu,rindu,elongasi,0,0
ninggalin,meninggalkan,afiksasi,0,0
smg,semoga,abreviasi,0,0
terangkhn,terangkan,salah ketik,0,0
bgtttt,banget,abreviasi,elongasi,0
knp,kenapa,abreviasi,0,0
tuk,untuk,zeroisasi,0,0
slama,selama,zeroisasi,0,0
orng,orang,abreviasi,0,0
bngunlah,bangunlah,abreviasi,0,0
k,kak,abreviasi,0,0
bngun,bangun,abreviasi,0,0
ea,ya,subtitusi,0,0
qu,ku,homofon,subtitusi,0
hiri,hari,salah ketik,0,0
klo,kalo,zeroisasi,0,0
"teman""ny",teman-temannya,reduplikasi,0,0
gtu,begitu,abreviasi,0,0
aza,saja,subtitusi,zeroisasi,0
dr,dari,abreviasi,0,0
"teman""ny",teman-temannya,reduplikasi,0,0
ny,nya,abreviasi,0,0
alm,almarhum,abreviasi,0,0
skrg,sekarang,abreviasi,0,0
knpa,kenapa,abreviasi,0,0
sie,sih,subtitusi,0,0
benet,benar,modifikasi vokal,salah ketik,0
bangetttt,banget,elongasi,0,0
tuu,tuh,zeroisasi,elongasi,0
skrang,sekarang,abreviasi,0,0
gda,enggak ada,akronim,abreviasi,0
trus,terus,zeroisasi,0,0
gantiin,menggantikan,afiksasi,0,0
sma,sama,abreviasi,0,0
jdi,jadi,abreviasi,0,0
gak,enggak,zeroisasi,0,0
kta,kata,abreviasi,0,0
kklau,kalau,abreviasi,elongasi,0
d,di,abreviasi,0,0
acra,acara,abreviasi,0,0
gk,enggak,abreviasi,0,0
sma,sama,abreviasi,0,0
kasian,kasihan,zeroisasi,0,0
bangett,banget,elongasi,0,0
yaaa ,ya,elongasi,0,0
bnerr,benar,zeroisasi,modifikasi vokal,elongasi
emk,emak,abreviasi,0,0
temenn,teman,modifikasi vokal,elongasi,0
pngenn,pengin,abreviasi,elongasi,0
terkenall,terkenal,elongasi,0,0
ajhh,saja,abreviasi,elongasi,anaptiksis
gk,enggak,abreviasi,0,0
sungguh2,sungguh-sungguh,reduplikasi,0,0
mnjadi,menjadi,abreviasi,0,0
shbt,sahabat,abreviasi,0,0
k,kak,abreviasi,0,0
bner,benar,abreviasi,modifikasi vokal,0
bgt,banget,abreviasi,0,0
ktny,katanya,abreviasi,0,0
shbt,sahabat,abreviasi,0,0
skrg,sekarang,abreviasi,0,0
pda,pada,abreviasi,0,0
dimusiumin,dimuseumkan,afiksasi,modifikasi vokal,0
ga,enggak,abreviasi,zeroisasi,0
bntu,bantu,abreviasi,0,0
pda,pada,abreviasi,0,0
dlu,dulu,abreviasi,0,0
klo,kalo,zeroisasi,0,0
gda,enggak ada,akronim,abreviasi,0
pda,pada,abreviasi,0,0
udh,sudah,abreviasi,0,0
pda,pada,abreviasi,0,0
kangem,kangen,salah ketik,0,0
amiiin,amin,elongasi,0,0
smua,semua,zeroisasi,0,0
slmt,selamat,abreviasi,0,0
jln,jalan,abreviasi,0,0
"mudh""an",mudah-mudahan,reduplikasi,abreviasi,0
tenny,tenang,salah ketik,0,0
d,di,abreviasi,0,0
sdh,sudah,abreviasi,0,0
yg,yang,abreviasi,0,0
tnya,tanya,abreviasi,0,0
blm,belum,abreviasi,0,0
td,tadi,abreviasi,0,0
sblm,sebelum,abreviasi,0,0
yah,ya,anaptiksis,0,0
bole,boleh,zeroisasi,0,0
lahhh,lah,elongasi,0,0
tp,tapi,abreviasi,0,0
blm,belum,abreviasi,0,0
dapet,dapat,modifikasi vokal,0,0
maap,maaf,subtitusi,0,0
gk,enggak,abreviasi,0,0
cm,cuma,abreviasi,0,0
syg,sayang,abreviasi,0,0
kmrn,kemarin,abreviasi,0,0
wkt,waktu,abreviasi,0,0
d,di,abreviasi,0,0
ama,sama,zeroisasi,0,0
ak,aku,abreviasi,0,0
lht,lihat,abreviasi,0,0
biasa2,biasa-biasa,reduplikasi,0,0
mnrtkuu,menurutku,abreviasi,elongasi,0
trs,terus,abreviasi,0,0
ikutin,mengikuti,afiksasi,0,0
jdwl,jadwal,abreviasi,0,0
yaaa,ya,elongasi,0,0
jgn,jangan,abreviasi,0,0
wajiiib,wajib,elongasi,0,0
aaaammmiiiinnnn,amin,elongasi,0,0
dtnggu,ditunggu,abreviasi,0,0
yah,ya,anaptiksis,0,0
jan,jangan,abreviasi,0,0
kunjungin,kunjungi,afiksasi,0,0
lagiiii,lagi,elongasi,0,0
waktunyaaa,waktunya,elongasi,0,0
diluangin,diluangkan,afiksasi,0,0
yaa,ya,elongasi,0,0
makasih,terima kasih,akronim,0,0
jga,juga,abreviasi,0,0
mimin,admin,coinage,0,0
istimewaaa,istimewa,elongasi,0,0
blom,belum,modifikasi vokal,zeroisasi,0
sempet,sempat,modifikasi vokal,0,0
nangis,menangis,afiksasi,0,0
karna,karena,zeroisasi,0,0
"ngaku""",mengaku-ngaku,afiksasi,reduplikasi,0
diaa,dia,elongasi,0,0
donkk,dong,subtitusi,elongasi,homofon
gak,enggak,zeroisasi,0,0
kejawab,terjawab,afiksasi,0,0
yaaaa,ya,elongasi,0,0
seru2an,seru-seruan,reduplikasi,0,0
mohom,mohon,salah ketik,0,0
kebalas,terbalas,afiksasi,0,0
yaaa,ya,elongasi,0,0
ikutin,ikuti,afiksasi,0,0
nyempetin,menyempatkan,afiksasi,0,0
wktunya,waktunya,abreviasi,0,0
kaaaa,kak,elongasi,zeroisasi,0
nyempetin,menyempatkan,afiksasi,0,0
ngobrol,mengobrol,afiksasi,0,0
bangett,banget,elongasi,0,0
namain,menamai,afiksasi,0,0
bls,balas,abreviasi,0,0
ijap,ijab,homofon,subtitusi,0
kobul,kabul,modifikasi vokal,0,0
dgn,dengan,abreviasi,0,0
co,cowok,abreviasi,0,0
pst,pasti,abreviasi,0,0
inggat,ingat,anaptiksis,0,0
brdua,berdua,abreviasi,0,0
masing2,masih,reduplikasi,0,0
sdh,sudah,abreviasi,0,0
pny,punya,abreviasi,0,0
brdua,berdua,abreviasi,0,0
sanggat,sangat,anaptiksis,0,0
siipp,sip,elongasi,0,0
laa,lah,zeroisasi,elongasi,0
dlm,dalam,abreviasi,0,0
hdup,hidup,abreviasi,0,0
hdp,hidup,abreviasi,0,0
trus,terus,zeroisasi,0,0
kedpan,kedepan,abreviasi,0,0
smoga,semoga,zeroisasi,0,0
mndaptkan,mendapatkan,abreviasi,0,0
yng,yang,abreviasi,0,0
"nutup""in",menutup-nutupi,reduplikasi,afiksasi,0
liatin,perlihatkan,afiksasi,0,0
iyah,iya,anaptiksis,0,0
sja,saja,abreviasi,0,0
kakkk,kak,elongasi,0,0
za,saja,abreviasi,subtitusi,0
mulut2,mulut-mulut,reduplikasi,0,0
peengn,pengin,abreviasi,elongasi,0
tuch,tuh,anaptiksis,0,0
muantteepp,mantap,anaptiksis,elongasi,modifikasi vokal
cpt,cepat,abreviasi,0,0
mrit,merit,abreviasi,0,0
y,ya,abreviasi,0,0
ngapasih,mengapa sih,akronim,afiksasi,0
ni,ini,zeroisasi,0,0
segitunya,sebegitunya,zeroisasi,0,0
fto,foto,abreviasi,0,0
pke,pakai,abreviasi,monoftongisasi,0
males,malas,modifikasi vokal,0,0
sisain,menyisakan,afiksasi,0,0
slamt,selamat,abreviasi,0,0
nantiii,nanti,elongasi,0,0
edaaan,edan,elongasi,0,0
emg,memang,abreviasi,0,0
bener2,benar-benar,reduplikasi,modifikasi vokal,0
tunggu2,tunggu-tunggu,reduplikasi,0,0
sehat2,sehat-sehat,reduplikasi,0,0
ciyeeeeeee,cie,elongasi,anaptiksis,0
pantes,pantas,modifikasi vokal,0,0
lairannya,kelahirannya,zeroisasi,0,0
jmnya,jamnya,abreviasi,0,0
ajha,saja,zeroisasi,anaptiksis,0
ama,sama,zeroisasi,0,0
nyaaaa,nya,elongasi,0,0
nyari,mencari,afiksasi,0,0
amiien,amien,elongasi,0,0
smoga,semoga,zeroisasi,0,0
terbaikkk,terbaik,elongasi,0,0
ayahh,ayah,elongasi,0,0
ntar,entar,zeroisasi,0,0
ae,saja,coinage,0,0
ndak,indak,zeroisasi,0,0
ngerti,mengerti,afiksasi,0,0
mrekaaaa,mereka,zeroisasi,elongasi,0
yaampuuuunnnn,ya ampun,akronim,elongasi,0
yha,ya,anaptiksis,0,0
nyanyiin,menyanyikan,afiksasi,0,0
ahhh,ah,elongasi,0,0
bnget,banget,abreviasi,0,0
pgen,pengin,abreviasi,modifikasi vokal,0
hdk,hendak,abreviasi,0,0
tempt,tempat,abreviasi,0,0
ny,nya,abreviasi,0,0
kh,kah,abreviasi,0,0
hdk,hendak,abreviasi,0,0
bgini,begini,abreviasi,0,0
aq,aku,abreviasi,homofon,0
brani,berani,zeroisasi,0,0
gak,enggak,zeroisasi,0,0
km,kamu,abreviasi,0,0
aq,aku,abreviasi,homofon,0
jalan2,jalan-jalan,reduplikasi,0,0
yaaa,ya,elongasi,0,0
asyikkkkk,asyik,elongasi,0,0
iriiiii,iri,elongasi,0,0
ngajak,mengajak,afiksasi,0,0
yakk,ya,anaptiksis,elongasi,0
naaaaahh,nah,elongasi,0,0
kka,kakak,abreviasi,0,0
jgn,jangan,abreviasi,0,0
yak,ya,anaptiksis,0,0
ttep,tetap,abreviasi,0,0
sperti,seperti,zeroisasi,0,0
jrang,jarang,abreviasi,0,0
msuk,masuk,abreviasi,0,0
gossip2.an,gosip-gosipan,reduplikasi,elongasi,0
makkk,mak,elongasi,0,0
ngapain,mengapai,afiksasi,0,0
guee,gue,elongasi,0,0
pengennn,pengin,elongasi,modifikasi vokal,0
ntar,entar,zeroisasi,0,0
yeee,ya,elongasi,modifikasi vokal,0
klo,kalo,zeroisasi,0,0
udh,sudah,abreviasi,0,0
gilzz,gila,zeroisasi,anaptiksis,elongasi
nyaru,menyaru,afiksasi,0,0
aja,saja,zeroisasi,0,0
kk,kakak,abreviasi,0,0
gilaaa,gila,elongasi,0,0
jd,jadi,abreviasi,0,0
kebarat2an,kebarat-baratan,reduplikasi,0,0
ohh,oh,elongasi,0,0
mantabs,mantab,anaptiksis,0,0
jgan,jangan,abreviasi,0,0
mlu,malu,abreviasi,0,0
payahh,payah,elongasi,0,0
ntaf,mantap,zeroisasi,subtitusi,0
beneran,benaran,modifikasi vokal,0,0
"mudah""n",mudah-mudahan,reduplikasi,0,0
trus,terus,zeroisasi,0,0
gada,enggak ada,akronim,zeroisasi,0
yg,yang,abreviasi,0,0
gada,enggak ada,akronim,zeroisasi,0
yg,yang,abreviasi,0,0
milikin,memiliki,afiksasi,0,0
kamo,kamu,modifikasi vokal,0,0
inih,ini,anaptiksis,0,0
tuhh,tuh,elongasi,0,0
suru,suruh,zeroisasi,0,0
syantik,cantik,subtitusi,anaptiksis,0
sukaaaa,suka,elongasi,0,0
sukaaaaaa,suka,elongasi,0,0
kirain,mengira,afiksasi,0,0
mehoonggggg,mahal,elongasi,coinage,0
apikkkk,apik,elongasi,0,0
yach,ya,anaptiksis,0,0
kereenn,keren,elongasi,0,0
ginii,begini,zeroisasi,elongasi,0
ayoook,ayo,elongasi,anaptiksis,0
yoiii,yoi,elongasi,0,0
gituuu,begitu,elongasi,zeroisasi,0
iyaaa,iya,elongasi,0,0
pgn,pengin,abreviasi,0,0
liptsk,lipstik,abreviasi,0,0
dr,dari,abreviasi,0,0
nyeplak,menjiplak,afiksasi,0,0
bgt,banget,abreviasi,0,0
kyk,kayak,abreviasi,0,0
cw,cewek,abreviasi,0,0
cw,cewek,abreviasi,0,0
kmarin,kemarin,zeroisasi,0,0
mengncang,mengencang,abreviasi,0,0
tauu,tau,elongasi,0,0
ksh,kasih,abreviasi,0,0
skrng,sekarang,abreviasi,0,0
mksh,terima kasih,akronim,abreviasi,0
gara2,gara-gara,reduplikasi,0,0
ank,anak,abreviasi,0,0
skitar,sekitar,zeroisasi,0,0
ktmu,ketemu,abreviasi,0,0
sma,sama,abreviasi,0,0
tmen,teman,abreviasi,0,0
skrg,sekarang,abreviasi,0,0
dlu,dulu,abreviasi,0,0
skrg,sekarang,abreviasi,0,0
ats,atas,abreviasi,0,0
donk,dong,homofon,subtitusi,0
heii,hai,modifikasi vokal,elongasi,0
yg,yang,abreviasi,0,0
diputusin,diputuskan,afiksasi,0,0
pcrnya,pacarnya,abreviasi,0,0
gara2,gara-gara,reduplikasi,0,0
mnjual,menjual,abreviasi,0,0
ngadain,mengadakan,afiksasi,0,0
ga,enggak,abreviasi,zeroisasi,0
nyangka,menyangka,afiksasi,0,0
kkak,kakak,abreviasi,0,0
rekomendasiin,merekomendasikan,afiksasi,0,0
sihhh,sih,elongasi,0,0
cooocok,cocok,elongasi,0,0
mrip,mirip,abreviasi,0,0
bgt,banget,abreviasi,0,0
sma,sama,abreviasi,0,0
mama.nyy,mamanya,abreviasi,pungtuasi,0
wkt,waktu,abreviasi,0,0
lht,lihat,abreviasi,0,0
gak,enggak,zeroisasi,0,0
bosenin,membosankan,afiksasi,0,0
kmu,kamu,abreviasi,0,0
bukn,bukan,abreviasi,0,0
sey,sih,modifikasi vokal,0,0
yng,yang,abreviasi,0,0
cantikkk,cantik,elongasi,0,0
banger,banget,salah ketik,0,0
kaa,kak,zeroisasi,elongasi,0
bngt,banget,abreviasi,0,0
eakyu,waktu,salah ketik,0,0
cntik,cantik,abreviasi,0,0
ama,sama,zeroisasi,0,0
amiiin,amin,elongasi,0,0
kakanya,kakaknya,zeroisasi,0,0
doeloe,dulu,anaptiksis,0,0
kk,kakak,abreviasi,0,0
cantikkkk,cantik,elongasi,0,0
bngtt,banget,abreviasi,elongasi,0
udh,sudah,abreviasi,0,0
iyak,iya,anaptiksis,0,0
malh,malah,abreviasi,0,0
mlah,malah,abreviasi,0,0
kk,kakak,abreviasi,0,0
ngak,enggak,abreviasi,0,0
laki2,laki-laki,reduplikasi,0,0
gag,enggak,zeroisasi,subtitusi,homofon
fhotonya,fotonya,anaptiksis,0,0
bleh,boleh,abreviasi,0,0
km,kamu,abreviasi,0,0
brp,berapa,abreviasi,0,0
tnggl,tanggal,abreviasi,0,0
brp,berapa,abreviasi,0,0
tanteny,tantenya,abreviasi,0,0
