Text,Label
alissnyaa bagus masaaaa?,0
"Enam bulan tinggal di Sumbawa, dalam sebuah perjalanan membawa rempah- rempah ke Surabaya, Nugroho dikhianati oleh tauke kongsi usahanya—yang ingin menguasai seluruh kepemilikan kapal.",1
"Dia tidak bisa menghentikan mobil itu, tapi dia bisa menghentikan pintu basemen terbuka.",1
"Zaman menggeleng, ""Tunda jawabannya hingga aku menyelesaikan semua investigasi, kita masih pirnya waktu hingga tenggat resmi.",1
"Sesekali, saat pool sedang sepi, Sri mengajak Lucy naik salah-satu bus, mencoba mengemudikannya, bus meliuk mulus di lapangan parkir.",1
Menunjuk pakaian formal yang dikenakannya.,1
"""Kamu sakit, Sri?"" Ibu Rajendra Khan bertanya, berpapasan di depan lift.",1
Amora ngambek ya?? Lucuuu,0
Nyusul nyok kk gni,0
Masih sisa empat lagi.,1
"Pak, mereka langsung buang air besar di laut."" La Golo menambahkan.",1
"Hanya org sirik yg ngmg sedot lemak and bodyshaping saya dulu punya anak naik 11kg, dalam waktu 2 minggu uda balik juga.. Ga pake aneh anehan..",0
kita hanya tau berkomentar. Tp cobalah jadi guru dulu selama setahun supaya bisa tau jadi seorang guru itu bgmn. Apalg hadapi yg naka. tdk gampang Loh jd guru.,0
"Aku sungguh mengagumi mu kak...q pgen jd istri,ibu kyk kakak,.km benar2 menginspirasi ku.",0
"Listen.. I'm not a good person, I'm not a ""people person"" like most of you all.. if you are looking for a person with good behavior, have a nice smile, always have positive energy to share.. surely I am not the one. And please stop fixing me like I need to be cured.",2
"Putih alami tinggi adalah keinginan kaum hawa , ingin praktis?? dan cepat?? hanya di suplemet herbal alami kualitas terjamin ! , ampuh ! makasih ya suplemenya dapat membantu orang yang membutuhkan",0
blablabla aneh check... Halah mo flexing pake segala intro dulu.,2
Hahaa dasyat,0
Smg dikabulkan teh ?,0
Sri Ningsih menggeleng lagi—lebih tegas.,1
"Malam itu, kembali ke kamarnya, Sri lama sekali berdiri menatap kota London dari jendela apartemen.",1
Cantiik,0
healing banget ga tuh,2
Yokkk buat,0
Malaaaamm. Ada yang mau spill nama crushnya? Yuk yang lewat TLnya monggo Cc,2
"the Frontier is actually soaked in booze believe it or not, as is the Land of Burnt Faces.",2
Di Kini telah hadir alat pembesar payudara multifungsi yang bisa bikin payudara kamu jadi tambah besar dan kancang hanya dalam waktu kurang dari 1 minggu!!!! untuk selengkapnya invite bbm,0
Untung pict ini msh ada blm dihapus klo uda dihapus berarti..........,0
"Breath In, breath out and repeat Bali COMOShambhalaestate Ubud Indonesia OliDeOliveira Oliworlds Blessed Energy EnergyHealing Healing Gratefull Nature Peace COMO Shambhala Estate, Bali",2
Lincah tangan Rajendra Khan mengiris daging dari panggangan.,1
"Aku datang untuk pekerjaan.""",1
"5 taun di pwt padahal, tapi baru pernah sekali pas taun kemarenitu juga rekomendasi mas crush huhu",2
"Jelek wak kakak pakek jilbab , cantiknyaa itu natural kak",0
"""Apakah Ibu sudah berusaha ke kantor khusus penanganan pengungsi?",1
"""Hanya ini, hah?"" Nusi Maratta sekali lagi bertanya sambil menusukkan tongkat rotan ke dada Sri.",1
"It's a miracle that Galileo never found you, if he did he'd say the universe revolves around you",2
Gimana... Udah cocok belum jadi gadun? Ahahahahahahahaha.... staycation staycationjakarta kempinskijakarta leisure jokes robyn Hotel Indonesia Kempinski Jakarta,2
"Kalo aku sih lebih perhatiam sm karyanya aj, dri pd kehidupan pribadinya bagaimanapun jg mas dhani ttp orang yg hebat,smpe detik ini aku ttp ngefens sm mas dhani, hidup ahmad dhani..",0
lucu bgtt wkkwkw,0
Melemparkannya ke atas meja.,1
"Sehari kemudian, Sri pindah ke apartemen milik keluarga Rajendra Khan.",1
"""Sekarang bukan siapa-siapa, tapi besok lusa kita tidak tahu, kan?"" Lucy senyum-senyum sendiri, lantas melangkah mendekati montir bengkel, meminta data-data terbaru.",1
ini juga gasih???? Wkwkwkwk kasian ya dia,0
"Mereka mendapatkan kompetitor tangguh, seorang pebisnis yang tumbuh dari bawah.",1
"Firma hukum ini, memiliki dua helikopter, dan tiga pesawat jet pribadi, terpakir rapi di London City Airport.",1
"No one, literally no one. Luis nani after cutting inside goal",2
Sri menatap punggung Bapaknya dari kejauhan.,1
"Happy New Year 2021! Wishing all of us a better life, health, and wealth. May this year everything goes back to normal as soon as possible! Be wiser, kinder, and nicer to everyone around you. And remember to always love and appreciate yourself",2
"Kiai Ma'sum selalu menutupi masa lalu itu, juga Nyai Kiai, dia telah membohongiku.",1
"Itu masih banyak di pesta rakyat, syukuran, sunatan atawa acara pernikahan.",1
"Some people have no idea how embarrassing and cringe the slogan is... only to be so proud shouting it, even at their events. It is like an admission and support for kleptocracy and corruption. Malu apa? Bosskurap.",2
"Sambil menunggu.""",1
Le ugha,0
"Kamu akan langsung jatuh cinta pada pandangan pertama."" Mbak Lastri menggoda.",1
"""Karena mereka berbeda."" Profesor menjawab ringan.",1
"Zaman menatap keluar, dia bisa melihat aliran sungai Thames, meliuk membelah kota.",1
Jual penutup mata seperti yg dipakai anak olla dan aufar. Agar saat berjemur tidak terkena paparan cahaya matahari scr langsung. Kalau berminat hub. Bio thanks,0
"Katanya open minded, sirih bumi dan krokot di halaman pada dicabutin.",2
"Habis nonton Film Pendek. Disitu bisa diambil satu pelajaran, every people have a choose in their life torang tida bisa paksa dengan depe pilihan, even itu bkg torang kecewa. Uwuwu",2
"Hakan yang bersedia menyesuaikan dengan budaya baru, padahal komunitas pendatang Turki, juga sama besarnya dengan pendatang India.",1
"Ayah Zaman menikah dengan putri sahabat karib Ibunya di kamar rawat inap RS, tiga puluh menit sebelum Ibunya meninggal.",1
Malam thn baru pada kemana bestie?,2
"Sri Ningsih memeluk tiga atau empat murid di dekatnya, murid-murid yang lain mengelilingi, sambil mengusap wajah, bertangisan, ini momen mengharukan.",1
Kapal itu tidak kunjung pulang.,1
"Dia tidak punya sepeser uang pun, menumpang dari satu mobil ke mobil lain.",1
"alah waktu sama saheer sheikh aja ketipu, orang aku tinggal di India, saheer itu dah punya bini dan anak laki"" profesinya pengacara jadi gak terkenal di India, sempet main serial juga serial juga...",0
Healing healing isi sendiri Abhayagiri - SWH Resort,2
Cant explain why playing drum while wearing a mask makes me weak Full video HARMONY ENTERTAINMENT LOMBOK on youtube bandwedding musicrntertainment,2
Hahahah lol efek nya gagal astagaa ke waktu itu w bikin ancurrr??,0
Stalking hanya akan membuatmu overthinking.,2
"Banyak orang nggak mau self-healing karena prosesnya emang nggak enak. Banyak nangis, banyak depresi, banyak luka, feeling empty, kehilangan arah, dll. Karena yang ditemui adalah sisi gelap dalam diri sendiri. Kamu yang sedang ada di jalan healing, sabar ya dengan dirimu",2
Itu termasuk hal yang susah dibantah.,1
"Haii friend.....udah pada makan malam belomm....btw menunya apa nih kira2 kalian semua...,,??? Wkwk ceritanya kepo nih wkwk lovemyself",2
Jok nyengir. Bagus loh iki,0
"""Sungguh terima-kasih untuk kesempatan mengenalmu, Sri.",1
"Kantorku ada di lantai bawah, aku tinggal di atasnya.",1
Cantik yahh,0
birthday party.. happy b'day say.. all the best ya . bestie besties bff girljustwannahavefun behappy AlwaysGrateful alwaysblessed Barcode Club,2
Jegeg yaaa,0
trolls on my tiktok literally,2
"Healing lah, mosok kerjo terus..",2
Aihh jdi pgn,0
Sir Thompson mengangkat selembar surat faksimili.,1
Andai neng sama jadian pasti bahkalan pas?mereka cocok bgt aku liat,0
Kepala Kampung telah ikut berdiri di dermaga—bersama Ode.,1
Wkwkkkk .. comentnya ngeri2 njiirr .. begitulah manusia .. wkwkwkkk,0
"La Golo reflek bertanya polos, dia kira ini seperti sinetron yang dia tonton di televisi atau dari film-film DVD bajakan, tokoh cerita mendadak kembali hidup.",1
Ko suka upload ini terus sih sedih banget orang orang yang sayang ama beliau rd juga sedih yah ikhlas ajah sahabat rd aja tak ada rd juga wajib ikhlas ajah sama tuhan.,0
dahlah strolling around on minecraft aja deh haha.. ga bikin mkn ati,2
Saabar kak salshaa..aku gak mau bales macemmacem di sosmed kak salsha soalnya aku bisa ngertiin apa yg kak salsha rasaiin.. gakusah dihiraukan kak salshaa aku disni slalu support kak yg cantiik kok kak?????,0
ini yg kita cari kmrn,0
Reply what are f.....g doing America is not a bigoted country where are you coming from the Moon bargain made perfect sense Biden actually did more than any president in his first hundred days and then it any Presidents in history I'm really sad that I heard a black man say that,2
4 hari libur mayan buat santuy at home,2
Subhanallah miris liat mbk,0
"Dia tidak menghindari pajak, dia selalu tertib membayar pajak.",1
cantikkkkkk bangetttt,0
"Y-ALLAH kangen kak bgtt sma kak olga,,,,gaa akn ada yg bisa ganti'kn kak olga...smg kak olga tnang d'sisi-NYA",0
"""Kisah ini sangat menyedihkan.",1
Whyyy. Ok id prefer tenorite,2
"Emang beneran ini,nnti editannn",0
"Kek seneng bgt gaksi klo 'pacar' memperliatkan keromantisan sma gua waktu lg didepan temannya atau even orang lain yang lebih sempurna dari gua sekalipun. NgeHalu aja dulu, siapatau ada keajaiban dan dikabulin",2
Mirip temenkuuh..,0
"""Tapi mau kemana?",1
DeepTalk karo cak bayu araxxx,2
"Wahid memeluk bahu Ibunya, berbisik membesarkan hati.",1
Wong dani jg suka ngatain orang ya wajarrr diganti dikata2in orang,0
"Aimee menggeleng, ""Seingatku tidak pernah.",1
Di sanggar tari madrasah Surakarta dulu tari ini tidak pernah diajarkan.,1
Begini nii yang jadi bikin tambah overthinking,2
Mau kulit bersih cantik alami tanpa harus bolak balik ke Kecantikan ??? Kami punya produk yg Khasiat nya bisa lebih ! Herbal Alami Tanpa Efek Samping .HALAL BPOM ikuti juga tips2 kecantikan pin .,0
anjinglah nonton alchemy of souls ketika ongoing adalah penyesalan terbesar w kepo bgt,2
omg i miss jkt at night argh the way its city lights on while the sun goes down,2
Cantiik2 dech,0
11 12 yaa body ma uwee,0
"""Kamu tidak pulang.",1
Kakakku tiap mau ke kampus pasti minta uang ke saya literally tiap hari,2
"Cewek kalo kangen jarang to the point, biasa nya ngodein nya pake ngambek.",2
Luuuucuuu Caantiiik banget Amora,0
"Pelanggan semakin banyak, tidak hanya orang asing, tapi juga kalangan atas Jakarta.",1
"Di setiap Ramadhan, selalu dapat jawaban. Dan akhirnyaa ""SINGLE FIGHTER"" agaiiinnn... no overthinking, overprotec, overjelous and over anything again. Its time to speak ""im freee....""",2
"Zaman ingat jika di Candi Prambanan, setiap tahun digelar Sendratari Ramayana di panggung terbuka, dengan melibatkan 800 lebih penari, dan ditonton ribuan penonton lokal dan mancanegara.",1
"Aduh mau mati aku capek bgt, ayo staycation ajaaaa",2
Ini jaket dan topi yang dikenakan sopir bus tahun 80- an.,1
nmnya,0
Bestie since 2020,2
"Org orang staycation ke Pik, padahal kesawah juga menariq",2
"Setelah sekian lama, sore itu, Nusi Maratta untuk pertama kalinya bisa menatap secara utuh wajah Sri.",1
"Mbak Lastri tidak menjawab, dia bergegas pergi, meninggalkan Sri yang termangu.",1
GA NYANGKA BANGET AKU BUAT BELI ALAT MHCA DI SEBULAN YANG LALU JADI YANG PALING TEPAT !! AWALNYA SIH AKU RAGU TAPI SETELAH PAKE SELAMA 30 HARI AKU UKUR LAGI AKU YANG TADINYA 32 JADI 36B BENERAN SERIUS DEH !!! KAMU HARUS COBA JUGA NIH HUB DI BBM PIN,0
"True. I'm not so smart but somehow their in awe everytime I use complicated formulas or just simple shortcutsnin Excel. ""Itu caranya gimana?""",2
"Ka raisa bikin aku baper ,dpt fotbar dari biasku",0
"Don't force anything. Whatever will be, will be.",2
"Even he do the cover of Nessun Dorma, excellently! This guy's everything....",2
gangguan kecemasan berlebih bikin susah tidur. tolonglah solusinya IkatanCintaEp253 insomnia amnesia susahtidur anorexia Anxiety,2
"Saat pabrik itu mulai beroperasi, aku bergabung di bagian Keuangan, siangnya bekerja, malamnya kuliah.",1
"""Sahabat kami, dia meninggal tadi pagi."" Nenek-nenek yang tadi berbisik dan sekarang ikut duduk di dekat Zaman memberitahu, sepertinya dia nenek-nenek yang ramah dan suka mengobrol, dan kabar baik, indera pendengarannya masih baik.",1
"Makin nambah umur, makin menikmati waktu curhat malam2 sama Tuhan. Tuhan itu bestie banget lah buat aku....",2
"Self healing versi aku, motoran sendiri, ngomong sendiri, nyanyi-nyanyi, berenti ngopi, jalan lagi, muter-muter kota, berenti terus makan. Versi kalian ?",2
Mukanya beby fast bgt,0
"Perhatikan mata, pada belo-belo' yah? Cewek cowok sama. I notice that they have the same eye feature, like big rounded and sharp. They are gorgeous, even only in portrait but seem real.",2
Hahahahaha lcu bngt,0
Good evening to my lovely sweetie baby bestie,2
"Aku ingin sekali tahu, kemana dia setelah itu?",1
While you were Sleeping,2
"Aurel hatinya baik bgt...makanya aura wajah aurel cantik bgt, menerima seorang ibu tiri dg tullus. Suka bgt sm pribadi aurel.",0
Mantaaap bingits ??,0
Hahaha lma gaprgi nnton uh,0
Xixixi aku lagi di titik 0 nie bestie,2
Tubuh murid bergelimpangan.,1
"""Dari diary milik Sri Ningsih.",1
"Sri Ningsih telah meninggal?"" Wanita itu menutup mulutnya, ""Itu sungguh kabar sedih.""",1
kmu penipuan ya..smoga dpt hidiyah..,0
"Pernah nemu cwok yg meninggalkan hanya karna mood swing ku yg cepetnya sekedip mata . Kirain bner gara2 itu , eh ternyata karena punya selir",2
Di mana tu perebut pacar,0
"Umur 15th tapi gaya pacaran kaya udah suami istri, astagaaaaaa !!",0
Pagi ini berangkat kerja kok jalanan sepi. Ternyata udah pada libur ya bestie.,2
Bahkan Ibumu tega menyekap Tilamuta berpuluh tahun?,1
"Gue ngeri jaehyun jadi anak jaksel, which is cocok aje sih",2
Aku juga sudah berjanji membelikannya sepatu baru di Surabaya.,1
And I even forget how to get asleep ....,2
"Mari kita mulai dari album yang pertama, ini dia, album tahun 2000-2002.",1
"Kalo orang biasa kayak aye perginya ke bioskop lebih murah, bawa uang Rp 50 sudah bisa nonton.",1
"Sejak hari itu, dia tidak bisa lagi menemui Mbak Lastri.",1
Lucu bgt siiih gemes deh amoraaaaa,0
Happy birthday abanggku sayanggg,0
"Hasutan yang Berawal dari ajakan meetup, Berlanjut dengan berbagi nomor wa, Bersambung pada ajakan staycation, Berbumbu sweet-talk, sweat-talk, dan deep-talk Berakhir pada dua pilihan,- lanjut atau mundur pelan2. Ada yang kek gini? Oohhh tentu ada. Banyak malah.",2
Pengen salto,0
"Panti Jompo itu satu-satunya harapan terakhir, pasti ada petunjuk tentang surat wasiat yang ditinggalkan Sri Ningsih.""",1
Santuy Banget Anjir cuman tutup kuping sambil bakar makanan.,2
Ga cocokk,0
"Kita sudah berkali-kali membicarakannya.""",1
"Jakarta hanya transit""",1
"Nih gar, mba mba gojek cantik bgt. Lo mau ga dianterin?",0
"Aku menemuinya beberapa kali, bahkan saat hari-hari terakhirnya di rumah sakit.",1
"Amrita tidak perlu didesak, sejak tadi dia menoleh kesana- kemari mencari.",1
"Seseorang yang amat mencintainya, yang sekarang bersiap mengulagi hal konyol saat pertama kali berkenalan dengannya dulu.",1
Makantutai Slmt healing diatas kendaraan sampe punggung retak btw,2
"insyaa Allah bisa mbak.. kita ndak tau bgmna nilai ssorg d hdpn Allah.. kalau Allah sayang maka Allah terus menunjukkan jalan mnuju hidayah tinggal kita yg menyambut hidayah tsb.. Allah sayang dg smua hambaNya.. semangat ya mbakyuu.. semoga segera kukuh niat baiknya ? mbak selamat nggih.. semoga semakin mantap berhijrahnya.. senang liat mbak langsung hapus foto2 yg terbuka auratnya, selamat menikmati proses hijrah yg lezat luar biasa.. barakallaahu fiikunna.. ?",0
"Apa kabar, Nur?",1
ur not kidding around...,2
"29 Juli 2020 - which is 1th lalu. gembar gembor Bioskop akan buka serentak.in fact.... zonk29 Juli 2021 - which is sekarang. semua bioskop kembali tutup lagi, semuanya",2
Harus santuy,2
serem dah mainnya spill,2
"Percikan api menyembur, pintu otomatis rusak, pintu baja basemen berdebam turun, langsung mengunci.",1
"Dia tidak memiliki pendidikan formal tinggi, tapi semangat belajarnya luar biasa.",1
Dan sesekali jg kasih kesempatan miminyauntuk bs nyanyi barengdgn Aurel untuk Terima undangan2 until jd bintangtamuDan bener2 hanya Mimi Dan loli..dgn bundanya kan sering bgtberdua.. Jauh dlm lubuk hatimiminya past sgt ingin sekali Dan kgn merasakan moment itu.miminya menunggu wktunya Ada Dr anknya. Krntdk mau memaksa.krn Mimi did u at ur acarapernah blg byk yg mengundang Mimi Dan Aurel untuktampil bersama tpwktunya yg blm Ada. Sebenernya klo diusahakan pastibisa.. Krnloli Dan bundanyapun sering jd binya,0
Banyak tanya purwokerto mana?? Aku sambil diem bilang entahlah bla bla Malas banget kepo purwokerto mana,2
Zaman mengusap rambutnya.,1
"Ga pap lah, kan cuman crush",2
Petugas tidak akan curiga.,1
Lucu bgt,0
Detailnya masih kurencanakan.,1
what if the next line up is even of day,2
"Aku tidak ingat kapan terakhir kali lulusan Oxford pernah bergabung di sana, ini kesempatan terbaik bagimu.",1
"Hampir seratus tahun firma hukum ini berdiri, mereka telah menangani ribuan kasus penting, dan semua tanpa publikasi.",1
"Mayoritas penduduk di sana muslim, bukan?",1
"365 to 365 Thank you very much for everything that I have gone through in 2021 day after day, time after time, everything is going well, all challenges are passed with a smile. I hope that 2022 will be even better and all the plans that have been drawn up will go well",2
Kek gua hahahaha,0
kak Rina jadi keliatan abg pake hijab subhanallah,0
Damn..That Mantis Shrimp Surely Very Strong 1 ended lolz,2
"KAPOK AKU PAKE MINYAK INI ITU, TETEP KENDUR. NYOBA ALAT DARI , EH GA SAMPAI 2 MINGGU UDAH . MAKASIH NIH HUB BBM",0
"Tidak pernah punya prasangka walau sebesar debu."" Nur'aini berkata pelan.",1
Mereka asyik bicara topik-topik ringan hingga selesai makan malam.,1
"Aku pernah bertanya, dia bilang agar tidak bosan, sambil menunjukkan kliping dari koran lama, berita tentang seorang pahlawan perang Angkatan Lautan Kerajaan Inggris yang mendirikan sebuah firma hukum tahun 1919.""",1
Subhanallah Sunggu luar biasa ciptaan -MU TUHAN .mmm udh sholeh beprestasi lagiii.... ??????,0
Ya ampunnnnn.ka ? Cantik bgt kmu,0
Apa itu Tanah Abang?,1
Ekspresi kepo sama tetangga,2
Cape bngt sih.. Suka overthinking Suka nangis ga jelas Suka trauma dengan perkataan,2
"i hope 2022 is full of happiness, love, success, and healing.",2
"""Satu kursi untuk partner firma, itu berarti aku, enam kursi yang lain untuk lawyer senior.",1
"""Aku berjanji, Aami.",1
